Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	ObservationDateBegin	ObservationDateEnd	Projection	Longitude	Latitude	Altitude	MeasurementType	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGBB15	BEGBB15	26BB15	SPO-BEGBB15_06001_100	SPP-BEGBB15_06001_1	SAM-BEGBB15_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	3.23406610187119	51.2134632158996	5	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR701	BEGR701	26R701	SPO-BEGR701_06001_100	SPP-BEGR701_06001_1	SAM-BEGR701_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	3.72929817169059	51.0583317166618	5	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR801	BEGR801	26R801	SPO-BEGR801_06001_100	SPP-BEGR801_06001_1	SAM-BEGR801_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	4.43182104696884	51.2096625313066	6	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR811	BEGR811	26R811	SPO-BEGR811_06001_100	SPP-BEGR811_06001_1	SAM-BEGR811_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	4.49136202793544	51.2521034122412	8	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGRT01	BEGRT01	26RT01	SPO-BEGRT01_06001_100	SPP-BEGRT01_06001_1	SAM-BEGRT01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	5.05330329126734	51.2308576111195	23	automatic	background	rural	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAB02	BELAB02	40AB02	SPO-BELAB02_00005_100	SPP-BELAB02_00005_2	SAM-BELAB02_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	4.32182021475228	51.340727492302	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAB02	BELAB02	40AB02	SPO-BELAB02_06001_100	SPP-BELAB02_06001_1	SAM-BELAB02_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-20 00:00:00.0000000		EPSG:4979	4.32182021475228	51.340727492302	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_00005_100	SPP-BELAL01_00005_2	SAM-BELAL01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_00008_100	SPP-BELAL01_00008_1	SAM-BELAL01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2013-06-25 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_06001_100	SPP-BELAL01_06001_1	SAM-BELAL01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-06-12 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL03	BELAL03	40AL03	SPO-BELAL03_06001_100	SPP-BELAL03_06001_1	SAM-BELAL03_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2008-06-01 00:00:00.0000000		EPSG:4979	4.20146039512657	51.2539648810663	4	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL05	BELAL05	40AL05	SPO-BELAL05_00005_100	SPP-BELAL05_00005_1	SAM-BELAL05_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2011-01-01 00:00:00.0000000		EPSG:4979	4.27888982166783	51.2631177172701	8	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELBE06	BELBE06	40BE06	SPO-BELBE06_00001_100	SPP-BELBE06_00001_1	SAM-BELBE06_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2001-06-01 00:00:00.0000000	2014-01-02 00:00:00.0000000	EPSG:4979	4.81937173138705	51.3289029167454	30	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELGK06	BELGK06	40GK06	SPO-BELGK06_00005_100	SPP-BELGK06_00005_2	SAM-BELGK06_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	5.47062003748762	50.9278918436631	44	automatic	industrial	urban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELGK06	BELGK06	40GK06	SPO-BELGK06_06001_100	SPP-BELGK06_06001_1	SAM-BELGK06_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-20 00:00:00.0000000		EPSG:4979	5.47062003748762	50.9278918436631	44	automatic	industrial	urban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00001_100	SPP-BELHB23_00001_1	SAM-BELHB23_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2003-05-01 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00005_100	SPP-BELHB23_00005_2	SAM-BELHB23_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2006-08-17 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00008_100	SPP-BELHB23_00008_1	SAM-BELHB23_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2003-05-01 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_06001_100	SPP-BELHB23_06001_1	SAM-BELHB23_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-19 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD01	BELLD01	40LD01	SPO-BELLD01_00008_100	SPP-BELLD01_00008_1	SAM-BELLD01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2000-06-27 00:00:00.0000000		EPSG:4979	5.00486439358777	51.1099761208639	20	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD01	BELLD01	40LD01	SPO-BELLD01_00020_100	SPP-BELLD01_00020_3	SAM-BELLD01_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2008-09-01 00:00:00.0000000		EPSG:4979	5.00486439358777	51.1099761208639	20	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD02	BELLD02	40LD02	SPO-BELLD02_00008_100	SPP-BELLD02_00008_1	SAM-BELLD02_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2003-01-01 00:00:00.0000000		EPSG:4979	5.02154597760984	51.1203841374963	22	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD02	BELLD02	40LD02	SPO-BELLD02_00020_100	SPP-BELLD02_00020_1	SAM-BELLD02_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2003-01-01 00:00:00.0000000		EPSG:4979	5.02154597760984	51.1203841374963	22	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLM05	BELLM05	40LM05	SPO-BELLM05_00001_100	SPP-BELLM05_00001_1	SAM-BELLM05_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2014-01-29 00:00:00.0000000		EPSG:4979	5.25811076172165	51.2151470329576	2	automatic	background	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELMN01	BELMN01	40MN01	SPO-BELMN01_00005_100	SPP-BELMN01_00005_2	SAM-BELMN01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	3.10964187449867	50.7934690447113	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELMN01	BELMN01	40MN01	SPO-BELMN01_06001_100	SPP-BELMN01_06001_2	SAM-BELMN01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-20 00:00:00.0000000		EPSG:4979	3.10964187449867	50.7934690447113	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_00005_100	SPP-BELOB01_00005_6	SAM-BELOB01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2008-09-13 00:00:00.0000000		EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_00008_100	SPP-BELOB01_00008_1	SAM-BELOB01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	1993-06-01 00:00:00.0000000	2014-01-01 00:00:00.0000000	EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_06001_100	SPP-BELOB01_06001_1	SAM-BELOB01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-21 00:00:00.0000000		EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB02	BELOB02	40OB02	SPO-BELOB02_00005_100	SPP-BELOB02_00005_1	SAM-BELOB02_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2012-04-24 00:00:00.0000000		EPSG:4979	3.37621163108602	50.9149529612786	14	automatic	industrial	rural-nearcity	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB02	BELOB02	40OB02	SPO-BELOB02_06001_100	SPP-BELOB02_06001_1	SAM-BELOB02_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-21 00:00:00.0000000		EPSG:4979	3.37621163108602	50.9149529612786	14	automatic	industrial	rural-nearcity	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELR801	BELR801	40R801	SPO-BELR801_00020_100	SPP-BELR801_00020_1	SAM-BELR801_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2012-01-01 00:00:00.0000000		EPSG:4979	4.43182104696884	51.2096625313066	5	automatic	background	urban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELR833	BELR833	40R833	SPO-BELR833_00008_100	SPP-BELR833_00008_1	SAM-BELR833_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2012-06-29 00:00:00.0000000		EPSG:4979	4.36226059320037	51.3276588718917	5	automatic	background	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELR833	BELR833	40R833	SPO-BELR833_00020_100	SPP-BELR833_00020_1	SAM-BELR833_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2007-01-01 00:00:00.0000000		EPSG:4979	4.36226059320037	51.3276588718917	5	automatic	background	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELRL01	BELRL01	40RL01	SPO-BELRL01_00005_100	SPP-BELRL01_00005_2	SAM-BELRL01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	3.12115559890125	50.953177280636	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELRL01	BELRL01	40RL01	SPO-BELRL01_06001_100	SPP-BELRL01_06001_1	SAM-BELRL01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-20 00:00:00.0000000		EPSG:4979	3.12115559890125	50.953177280636	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSA04	BELSA04	40SA04	SPO-BELSA04_00005_100	SPP-BELSA04_00005_1	SAM-BELSA04_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2012-07-02 00:00:00.0000000		EPSG:4979	4.40386813974961	51.3139288945411	6	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSA04	BELSA04	40SA04	SPO-BELSA04_00008_100	SPP-BELSA04_00008_1	SAM-BELSA04_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2013-01-01 00:00:00.0000000		EPSG:4979	4.40386813974961	51.3139288945411	6	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSA04	BELSA04	40SA04	SPO-BELSA04_06001_100	SPP-BELSA04_06001_1	SAM-BELSA04_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2012-07-02 00:00:00.0000000		EPSG:4979	4.40386813974961	51.3139288945411	6	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSZ02	BELSZ02	40SZ02	SPO-BELSZ02_00005_100	SPP-BELSZ02_00005_2	SAM-BELSZ02_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2006-08-21 00:00:00.0000000		EPSG:4979	4.51218434619029	50.9130204234224	15	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSZ02	BELSZ02	40SZ02	SPO-BELSZ02_00008_100	SPP-BELSZ02_00008_1	SAM-BELSZ02_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	1996-07-01 00:00:00.0000000		EPSG:4979	4.51218434619029	50.9130204234224	15	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELSZ02	BELSZ02	40SZ02	SPO-BELSZ02_06001_100	SPP-BELSZ02_06001_1	SAM-BELSZ02_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-28 00:00:00.0000000		EPSG:4979	4.51218434619029	50.9130204234224	15	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELTS12	BELTS12	40TS12	SPO-BELTS12_00020_100	SPP-BELTS12_00020_1	SAM-BELTS12_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2008-01-01 00:00:00.0000000		EPSG:4979	5.09386114807259	51.0633561248262	32	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELWZ02	BELWZ02	40WZ02	SPO-BELWZ02_00001_100	SPP-BELWZ02_00001_1	SAM-BELWZ02_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	1995-09-01 00:00:00.0000000		EPSG:4979	5.22153407909309	51.1928003335933	40	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELZL01	BELZL01	40ZL01	SPO-BELZL01_00020_100	SPP-BELZL01_00020_1	SAM-BELZL01_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2001-06-01 00:00:00.0000000		EPSG:4979	3.80840032395166	51.2031414264689	6	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEM5K01	BEM5K01	05KK01	SPO-BEM5K01_07013_100	SPP-BEM5K01_07013_1	SAM-BEM5K01_07013	Hg	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7013	2009-01-01 00:00:00.0000000		EPSG:4979	2.65854278952871	51.1209194229239	6	automatic	background	suburban	ref		0	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEM5K01	BEM5K01	05KK01	SPO-BEM5K01_07014_100	SPP-BEM5K01_07014_1	SAM-BEM5K01_07014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	2009-01-01 00:00:00.0000000		EPSG:4979	2.65854278952871	51.1209194229239	6	automatic	background	suburban	ref		0	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEM5K01	BEM5K01	05KK01	SPO-BEM5K01_07015_100	SPP-BEM5K01_07015_1	SAM-BEM5K01_07015	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	2009-01-01 00:00:00.0000000		EPSG:4979	2.65854278952871	51.1209194229239	6	automatic	background	suburban	ref		0	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEM5K01	BEM5K01	05KK01	SPO-BEM5K01_07018_100	SPP-BEM5K01_07018_1	SAM-BEM5K01_07018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	2009-01-01 00:00:00.0000000		EPSG:4979	2.65854278952871	51.1209194229239	6	automatic	background	suburban	ref		0	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMAND1	BEMAND1	0AND01	SPO-BEMAND1_05012_100	SPP-BEMAND1_05012_1	SAM-BEMAND1_05012	Pb in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5012	2008-01-01 00:00:00.0000000		EPSG:4979	5.0420245718817	50.4971858597194	90	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMAND1	BEMAND1	0AND01	SPO-BEMAND1_05014_100	SPP-BEMAND1_05014_1	SAM-BEMAND1_05014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	2008-01-01 00:00:00.0000000		EPSG:4979	5.0420245718817	50.4971858597194	90	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMAND1	BEMAND1	0AND01	SPO-BEMAND1_05015_100	SPP-BEMAND1_05015_1	SAM-BEMAND1_05015	Ni in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5015	2008-01-01 00:00:00.0000000		EPSG:4979	5.0420245718817	50.4971858597194	90	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMAND1	BEMAND1	0AND01	SPO-BEMAND1_05018_100	SPP-BEMAND1_05018_1	SAM-BEMAND1_05018	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	2008-01-01 00:00:00.0000000		EPSG:4979	5.0420245718817	50.4971858597194	90	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Brussels	STA-BEMAND3	BEMAND3	01AND3	SPO-BEMAND3_03012_100	SPP-BEMAND3_03012_1	SAM-BEMAND3_03012	Pb in TSP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3012	2001-05-01 00:00:00.0000000		EPSG:4979	4.31154682997583	50.8199823863568	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Brussels	STA-BEMAND3	BEMAND3	01AND3	SPO-BEMAND3_03014_100	SPP-BEMAND3_03014_1	SAM-BEMAND3_03014	Cd in TSP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3014	2001-05-01 00:00:00.0000000		EPSG:4979	4.31154682997583	50.8199823863568	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Brussels	STA-BEMAND3	BEMAND3	01AND3	SPO-BEMAND3_03015_100	SPP-BEMAND3_03015_1	SAM-BEMAND3_03015	Ni in TSP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3015	2001-05-01 00:00:00.0000000		EPSG:4979	4.31154682997583	50.8199823863568	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Brussels	STA-BEMAND3	BEMAND3	01AND3	SPO-BEMAND3_03018_100	SPP-BEMAND3_03018_1	SAM-BEMAND3_03018	As in TSP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3018	2001-05-01 00:00:00.0000000		EPSG:4979	4.31154682997583	50.8199823863568	20	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMATH1	BEMATH1	0ATH01	SPO-BEMATH1_05012_100	SPP-BEMATH1_05012_1	SAM-BEMATH1_05012	Pb in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5012	2008-01-01 00:00:00.0000000		EPSG:4979	3.77522668638518	50.6351172527829	32	automatic	industrial	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMATH1	BEMATH1	0ATH01	SPO-BEMATH1_05014_100	SPP-BEMATH1_05014_1	SAM-BEMATH1_05014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	2008-01-01 00:00:00.0000000		EPSG:4979	3.77522668638518	50.6351172527829	32	automatic	industrial	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Wallonia	STA-BEMATH1	BEMATH1	0ATH01	SPO-BEMATH1_05015_100	SPP-BEMATH1_05015_1	SAM-BEMATH1_05015	Ni in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5015	2008-01-01 00:00:00.0000000		EPSG:4979	3.77522668638518	50.6351172527829	32	automatic	industrial	urban	ref		2	-999	-999
